Ngram,N,LowerCVF,UpperCVF
"7_Held, 6_-2, 8",3,T,C
"7_Held, 6_Held, 5_-2, 8",4,T,C
"7_Held, 6_Held, 5_Held, 6_-2, 8",5,T,C
"7_Held, 6_Held, 6_Held, 5_-2, 8",5,T,C
"-7_-2, -6_2, -8",3,C,T
"-7_-2, -6_-2, -5_3, -8",4,C,T
"-7_-2, -6_-2, -5_2, -6_2, -8",5,C,T
"-7_-2, -6_1, -6_-2, -5_3, -8",5,C,T
"2_-2, 3_2, 1",3,C,T
"2_-2, 3_-2, 4_3, 1",4,C,T
"2_-2, 3_1, 3_-2, 4_2, 1",5,C,T
"2_-2, 3_-2, 4_2, 3_2, 1",5,C,T
"-2_Held, -3_-2, 1",3,T,C
"-2_Held, -3_Held, -4_-2, 1",4,T,C
"-2_Held, -3_Held, -3_Held, -4_-2, 1",5,T,C
"-2_Held, -3_Held, -4_Held, -3_-2, 1",5,T,C
"7_Held, 6_2, 6",3,t,C
"2_-2, 3_2, 3",3,C,t
"3_-2, 4_Held, 3_-2, 5",4,T,A
"3_-2, 4_Held, 3_Held, 2_-2, 5",5,T,A
"3_-2, 4_Held, 3_Held, 3_Held, 2_-2, 5",6,T,A
"3_-2, 4_Held, 3_Held, 3_Held, 2_-2, 5",6,T,A
"-3_Held, -4_-2, -3_2, -5",4,A,T
"-3_Held, -4_-2, -3_-2, -2_3, -5",5,A,T
"-3_Held, -4_-2, -3_-2, -2_2, -3_2, -5",6,A,T
"-3_Held, -4_-2, -3_1, -3_-2, -2_3, -5",6,A,T
"6_Held, 5_-2, 6_2, 4",4,A,T
"6_Held, 5_-2, 6_-2, 7_3, 4",5,A,T
"6_Held, 5_-2, 6_1, 6_-2, 7_2, 4",6,A,T
"6_Held, 5_-2, 6_-2, 7_2, 6_2, 4",6,A,T
"-6_-2, -5_Held, -6_-2, -4",4,T,A
"-6_-2, -5_Held, -6_Held, -7_-2, -4",5,T,A
"-6_-2, -5_Held, -6_Held, -6_Held, -7_-2, -4",6,T,A
"-6_-2, -5_Held, -6_Held, -7_Held, -6_-2, -4",6,T,A
"4_Held, 3_-5, 8",3,B,C
"5_2, 3_-5, 8",3,B,C
"4_Held, 3_Held, 2_-5, 8",4,B,C
"4_Held, 3_Held, 3_Held, 2_-5, 8",5,B,C
"4_Held, 3_Held, 2_Held, 3_-5, 8",5,B,C
"-4_Held, -3_-5, -8",3,C,B
"-4_Held, -3_Held, -2_-5, -8",4,C,B
"-4_Held, -3_Held, -3_Held, -2_-5, -8",5,C,B
"-4_Held, -3_Held, -2_Held, -3_-5, -8",5,C,B
"5_2, 4_Held, 3_2, 3",3,b,C
"5_2, 4_Held, 3_Held, 2_2, 3",5,b,C
"5_2, 4_Held, 3_Held, 3_Held, 2_2, 3",6,b,C
"5_2, 4_Held, 3_Held, 2_Held, 3_2, 3",6,b,C
"5_-2, 6_2, 8",3,C,B
"5_-2, 6_2, 1",3,C,B
"4_Held, 3_4, 8",3,B,C
"4_Held, 3_4, 1",3,B,C
"-4_Held, -3_4, -8",3,C,B
"-4_Held, -3_4, 1",3,C,B
"5_-2, 6_2, 8",3,C,B
"2_Held, 8_-4, 5",3,P,C
"2_Held, 1_-4, 5",3,P,C
"2_Held, 8_5, 5",3,P,C
